,Date,SellPrices,Trades
120,2016-12-14,"[2037.0, 4695.0, 3165.0, 3300.0, 1915.0]","{'A054180': 2018.0, 'A069920': 4590.0, 'A094970': 3255.0, 'A189330': 2920.0, 'A220630': 1955.0}"
121,2016-12-15,"[11800.0, 2845.0, 7010.0, 6290.0, 2990.0]","{'A000250': 11900.0, 'A080580': 2905.0, 'A098120': 6830.0, 'A134580': 6530.0, 'A195990': 2765.0}"
122,2016-12-16,"[3970.0, 1084.0, 15100.0, 6650.0, 8913.0]","{'A066590': 3880.0, 'A072520': 991.0, 'A090360': 15300.0, 'A191410': 6650.0, 'A225530': 8780.0}"
123,2016-12-19,"[6960.0, 3135.0, 2570.0, 6900.0, 4704.0]","{'A014570': 7000.0, 'A040350': 3100.0, 'A051780': 2410.0, 'A054540': 6720.0, 'A140520': 4773.0}"
124,2016-12-20,"[2940.0, 13700.0, 13400.0, 2805.0, 10616.0]","{'A005860': 3020.0, 'A038870': 13700.0, 'A048430': 13300.0, 'A051780': 2860.0, 'A225530': 10549.0}"
125,2016-12-21,"[8530.0, 1965.0, 8430.0, 6999.0, 4789.0]","{'A077360': 8700.0, 'A089890': 1965.0, 'A098120': 8390.0, 'A126340': 6093.0, 'A187790': 4624.0}"
126,2016-12-22,"[3950.0, 8300.0, 593.0, 8038.0, 3451.0]","{'A027830': 3875.0, 'A057030': 8180.0, 'A096040': 549.0, 'A126340': 6999.0, 'A208140': 3477.0}"
127,2016-12-23,"[5040.0, 8750.0, 5210.0, 629.0, 2457.0]","{'A014470': 4640.0, 'A017000': 8500.0, 'A046110': 5190.0, 'A096040': 640.0, 'A197140': 2143.0}"
128,2016-12-26,"[4800.0, 8950.0, 14297.0, 2005.0, 4434.0]","{'A033200': 4730.0, 'A049120': 9160.0, 'A089530': 13631.0, 'A099520': 2005.0, 'A208140': 4381.0}"
129,2016-12-27,"[3380.0, 2600.0, 4341.0, 2368.0, 5967.0]","{'A037030': 2600.0, 'A123570': 2455.0, 'A186230': 4811.0, 'A197140': 2782.0, 'A219750': 6065.0}"
130,2016-12-28,"[3380.0, 4450.0, 2720.0, 12900.0, 5250.0]","{'A037030': 3380.0, 'A060570': 4140.0, 'A123570': 2755.0, 'A214610': 13800.0, 'A217820': 5300.0}"
131,2016-12-29,"[1900.0, 5300.0, 3045.0, 2559.0, 3980.0]","{'A032680': 1950.0, 'A060570': 5310.0, 'A068330': 2905.0, 'A109960': 2473.0, 'A138360': 3964.0}"
132,2017-01-02,"[3895.0, 4790.0, 3175.0, 3676.0, 14100.0]","{'A008290': 3915.0, 'A037230': 4725.0, 'A039420': 3145.0, 'A041020': 3417.0, 'A229000': 16550.0}"
133,2017-01-03,"[3530.0, 5700.0, 2225.0, 9256.0, 3610.0]","{'A017250': 3515.0, 'A037030': 4390.0, 'A043220': 2265.0, 'A067000': 9238.0, 'A104040': 3475.0}"
