Date,Close,Open,High,Low,Volume,Change
2014-04-08,193.29,193.89,194.17,192.69,5130000.0,-0.0063
2014-04-09,196.64,193.88,197.0,193.6,5490000.0,0.0173
2014-04-10,195.68,196.06,199.21,195.66,8430000.0,-0.0049
2014-04-11,195.19,195.04,197.0,194.27,4840000.0,-0.0025
2014-04-14,197.77,196.24,198.24,195.88,5430000.0,0.0132
2014-04-15,197.02,195.98,197.41,195.42,5350000.0,-0.0038
2014-04-16,196.4,198.05,198.71,195.0,8530000.0,-0.0031
2014-04-17,190.01,187.25,190.7,187.01,11260000.0,-0.0325
2014-04-21,192.27,189.8,192.81,189.74,5430000.0,0.011899999999999999
2014-04-22,192.15,192.01,193.0,191.2,3880000.0,-0.0006
2014-04-23,191.73,191.79,192.41,190.11,4740000.0,-0.0022
2014-04-24,190.22,192.22,192.22,190.03,4410000.0,-0.0079
2014-04-25,189.63,190.54,190.67,189.11,3870000.0,-0.0031
2014-04-28,193.14,191.14,193.99,190.58,5640000.0,0.018500000000000003
2014-04-29,195.11,193.59,195.94,193.41,4630000.0,0.0102
2014-04-30,196.47,194.38,196.86,194.35,4210000.0,0.006999999999999999
2014-05-01,193.53,196.31,196.74,193.15,3680000.0,-0.015
2014-05-02,191.44,193.75,193.84,191.25,3050000.0,-0.0108
2014-05-05,191.26,191.05,191.49,189.8,2220000.0,-0.0009
2014-05-06,190.03,190.93,190.95,189.25,3190000.0,-0.0064
2014-05-07,189.3,189.34,190.3,186.93,3820000.0,-0.0038
2014-05-08,188.91,189.16,190.57,188.23,2430000.0,-0.0021
2014-05-09,190.08,188.98,190.59,188.37,2260000.0,0.0062
2014-05-12,192.57,191.12,193.02,190.94,3780000.0,0.0131
2014-05-13,192.19,192.79,193.03,191.76,2230000.0,-0.002
2014-05-14,188.72,191.91,191.99,188.17,5260000.0,-0.0181
2014-05-15,186.46,189.07,189.08,186.18,4200000.0,-0.012
2014-05-16,187.06,186.27,187.41,185.93,3950000.0,0.0032
2014-05-19,187.0,186.61,187.13,186.04,3270000.0,-0.0003
2014-05-20,184.89,186.25,186.7,184.7,3030000.0,-0.0113
2014-05-21,186.39,185.85,187.16,184.95,2990000.0,0.008100000000000001
2014-05-22,185.68,186.45,186.45,185.03,2220000.0,-0.0038
2014-05-23,185.94,185.84,186.14,185.31,2560000.0,0.0014000000000000002
2014-05-27,184.78,184.8,185.65,183.93,4790000.0,-0.0062
2014-05-28,183.08,184.48,184.88,182.94,3720000.0,-0.0092
2014-05-29,183.76,183.64,183.78,182.33,2760000.0,0.0037
2014-05-30,184.36,183.38,184.57,182.49,4620000.0,0.0033
2014-06-02,185.69,184.76,186.28,184.67,3200000.0,0.0072
2014-06-03,184.37,185.55,185.76,184.12,2520000.0,-0.0070999999999999995
2014-06-04,184.51,184.71,185.45,184.2,2380000.0,0.0008
2014-06-05,185.98,184.66,186.09,183.92,2860000.0,0.008
2014-06-06,186.37,186.47,187.65,185.9,3300000.0,0.0021
2014-06-09,186.22,186.22,187.64,185.96,2730000.0,-0.0008
2014-06-10,184.29,186.2,186.22,183.82,4160000.0,-0.0104
2014-06-11,182.25,183.61,184.2,182.01,4070000.0000000005,-0.0111
2014-06-12,181.22,182.48,182.55,180.91,4430000.0,-0.005699999999999999
2014-06-13,182.56,182.0,183.0,181.52,2780000.0,0.0074
2014-06-16,182.35,182.4,182.71,181.24,3560000.0,-0.0012
2014-06-17,182.26,181.9,182.81,181.56,2460000.0,-0.0005
2014-06-18,183.6,182.04,183.61,181.79,3940000.0,0.0074
2014-06-19,182.82,184.12,184.47,182.36,3550000.0,-0.0042
2014-06-20,181.55,182.59,182.67,181.4,10690000.0,-0.0069
2014-06-23,182.14,181.92,182.25,181.0,3230000.0,0.0032
2014-06-24,180.88,181.5,183.0,180.65,3880000.0,-0.0069
2014-06-25,180.72,180.25,180.97,180.06,2760000.0,-0.0009
2014-06-26,180.37,180.87,181.37,179.27,3260000.0,-0.0019
2014-06-27,181.71,179.77,182.46,179.66,4580000.0,0.0074
2014-06-30,181.27,181.33,181.93,180.26,4230000.0,-0.0024
2014-07-01,186.35,181.7,187.27,181.7,6640000.0,0.027999999999999997
2014-07-02,188.39,186.34,188.99,186.17,5100000.0,0.0109
2014-07-03,188.53,188.39,188.81,187.35,2420000.0,0.0007000000000000001
2014-07-07,188.04,187.61,188.27,187.44,2960000.0,-0.0026
2014-07-08,187.22,187.65,188.08,186.37,3140000.0,-0.0044
2014-07-09,188.42,187.68,188.9,186.89,3310000.0,0.0064
2014-07-10,187.7,186.44,188.05,186.21,3180000.0,-0.0038
2014-07-11,188.0,187.73,188.35,186.71,2400000.0,0.0016
2014-07-14,189.86,188.55,190.44,188.53,4500000.0,0.009899999999999999
